,A,Age,Full_Name,G,GP,PTS,Pos,Season,Team
270,8,28.0,Luke Glendening,11,69,19,RW,2017,DET
271,0,24.0,Luke Witkowski,0,16,0,D,2014,TBL
272,0,25.0,Luke Witkowski,0,4,0,D,2015,TBL
273,4,26.0,Luke Witkowski,0,34,4,D,2016,TBL
274,3,27.0,Luke Witkowski,1,31,4,RW,2017,DET
275,0,18.0,Mark Scheifele,1,7,1,C,2011,WPG
276,0,19.0,Mark Scheifele,0,4,0,C,2012,WPG
277,21,20.0,Mark Scheifele,13,63,34,C,2013,WPG
278,34,21.0,Mark Scheifele,15,82,49,C,2014,WPG
279,32,22.0,Mark Scheifele,29,71,61,C,2015,WPG
280,50,23.0,Mark Scheifele,32,79,82,C,2016,WPG
281,37,24.0,Mark Scheifele,23,60,60,C,2017,WPG
282,13,20.0,Marko Dano,8,35,21,C,2014,CBJ
283,5,21.0,Marko Dano,5,34,10,C,2015,TOT
284,7,22.0,Marko Dano,4,38,11,C,2016,WPG
285,1,23.0,Marko Dano,2,23,3,C,2017,WPG
286,0,23.0,Martin Frk,0,2,0,RW,2016,CAR
287,14,24.0,Martin Frk,11,68,25,RW,2017,DET
288,5,22.0,Mathieu Perreault,4,21,9,C,2009,WSH
289,7,23.0,Mathieu Perreault,7,35,14,C,2010,WSH
290,14,24.0,Mathieu Perreault,16,64,30,C,2011,WSH
291,11,25.0,Mathieu Perreault,6,39,17,C,2012,WSH
292,25,26.0,Mathieu Perreault,18,69,43,C,2013,ANA
293,23,27.0,Mathieu Perreault,18,62,41,C,2014,WPG
294,32,28.0,Mathieu Perreault,9,71,41,C,2015,WPG
295,32,29.0,Mathieu Perreault,13,65,45,C,2016,WPG
296,22,30.0,Mathieu Perreault,17,70,39,C,2017,WPG
297,0,23.0,Matt Grzelcyk,0,2,0,D,2016,BOS
298,12,24.0,Matt Grzelcyk,3,61,15,D,2017,BOS
299,0,27.0,Matt Hendricks,0,4,0,C,2008,COL
300,7,28.0,Matt Hendricks,9,56,16,C,2009,COL
301,16,29.0,Matt Hendricks,9,77,25,C,2010,WSH
302,5,30.0,Matt Hendricks,4,78,9,C,2011,WSH
303,3,31.0,Matt Hendricks,5,48,8,C,2012,WSH
304,2,32.0,Matt Hendricks,5,77,7,C,2013,TOT
305,8,33.0,Matt Hendricks,8,71,16,LW/C,2014,EDM
306,7,34.0,Matt Hendricks,5,68,12,LW,2015,EDM
307,3,35.0,Matt Hendricks,4,42,7,LW,2016,EDM
308,8,36.0,Matt Hendricks,5,60,13,LW,2017,WPG
309,2,20.0,Mike Green,1,22,3,D,2005,WSH
310,10,21.0,Mike Green,2,70,12,D,2006,WSH
311,38,22.0,Mike Green,18,82,56,D,2007,WSH
312,42,23.0,Mike Green,31,68,73,D,2008,WSH
313,57,24.0,Mike Green,19,75,76,D,2009,WSH
314,16,25.0,Mike Green,8,49,24,D,2010,WSH
315,4,26.0,Mike Green,3,32,7,D,2011,WSH
316,14,27.0,Mike Green,12,35,26,D,2012,WSH
317,29,28.0,Mike Green,9,70,38,D,2013,WSH
318,35,29.0,Mike Green,10,72,45,D,2014,WSH
319,28,30.0,Mike Green,7,74,35,D,2015,DET
320,22,31.0,Mike Green,14,72,36,D,2016,DET
321,25,32.0,Mike Green,8,66,33,D,2017,DET
322,4,20.0,Nic Petan,2,26,6,LW,2015,WPG
323,12,21.0,Nic Petan,1,54,13,LW,2016,WPG
324,0,22.0,Nic Petan,2,15,2,LW,2017,WPG
325,0,23.0,Nick Holden,0,5,0,D,2010,CBJ
326,0,25.0,Nick Holden,0,2,0,D,2012,CBJ
327,15,26.0,Nick Holden,10,54,25,D,2013,COL
328,9,27.0,Nick Holden,5,78,14,D,2014,COL
329,16,28.0,Nick Holden,6,82,22,D,2015,COL
330,23,29.0,Nick Holden,11,80,34,D,2016,NYR
331,4,30.0,Nick Holden,1,18,5,D,2017-18,BOS
332,9,26.0,Nick Jensen,4,49,13,D,2016-17,DET
333,15,27.0,Nick Jensen,0,81,15,D,2017-18,DET
334,4,23.0,Niklas Kronwall,1,20,5,D,2003-04,DET
335,8,25.0,Niklas Kronwall,1,27,9,D,2005-06,DET
336,21,26.0,Niklas Kronwall,1,68,22,D,2006-07,DET
337,28,27.0,Niklas Kronwall,7,65,35,D,2007-08,DET
