,A,Age,Full_Name,G,GP,PTS,Pos,Season,Team
68,18,28,Darren Helm,15,75,33,C,2014,DET
69,13,29,Darren Helm,13,77,26,C,2015,DET
70,9,30,Darren Helm,8,50,17,C,2016,DET
71,18,31,Darren Helm,13,75,31,LW,2017,DET
,12,12,Darren Helm,12,82,12,LW,2019,DET
,12,12,Darren Helm,12,82,12,LW,2020,DET
,12,12,Darren Helm,8,82,12,LW,2021,DET
,12,12,Darren Helm,8,82,12,LW,2022,DET
,12,12,Darren Helm,6,82,12,LW,2023,DET
72,7,22,David Booth,3,48,10,LW,2006,FLA
73,18,23,David Booth,22,73,40,LW,2007,FLA
74,29,24,David Booth,31,72,60,LW,2008,FLA
75,8,25,David Booth,8,28,16,LW,2009,FLA
76,17,26,David Booth,23,82,40,LW,2010,FLA
77,14,27,David Booth,16,62,30,LW,2011,TOT
78,2,28,David Booth,1,12,3,LW,2012,VAN
79,10,29,David Booth,9,66,19,LW,2013,VAN
80,6,30,David Booth,7,59,13,LW,2014,TOR
81,1,33,David Booth,4,28,5,LW,2017,DET
,12,12,David Booth,6,82,12,LW,2019,DET
,12,12,David Booth,0,82,12,LW,2020,DET
,12,12,David Booth,0,82,12,LW,2021,DET
,12,12,David Booth,0,82,12,LW,2022,DET
,12,12,David Booth,0,82,12,LW,2023,DET
82,0,29,Derek Ryan,2,6,2,C,2015,CAR
83,18,30,Derek Ryan,11,67,29,C,2016,CAR
84,23,31,Derek Ryan,15,80,38,C,2017,CAR
,12,12,Derek Ryan,12,82,12,LW,2019,CAR
,12,12,Derek Ryan,12,82,12,LW,2020,CAR
,12,12,Derek Ryan,12,82,12,LW,2021,CAR
,12,12,Derek Ryan,8,82,12,LW,2022,CAR
,12,12,Derek Ryan,6,82,12,LW,2023,CAR
85,13,19,Dmitry Kulikov,3,68,16,D,2009,FLA
86,20,20,Dmitry Kulikov,6,72,26,D,2010,FLA
87,24,21,Dmitry Kulikov,4,58,28,D,2011,FLA
88,7,22,Dmitry Kulikov,3,34,10,D,2012,FLA
89,11,23,Dmitry Kulikov,8,81,19,D,2013,FLA
90,19,24,Dmitry Kulikov,3,73,22,D,2014,FLA
91,16,25,Dmitry Kulikov,1,74,17,D,2015,FLA
92,3,26,Dmitry Kulikov,2,47,5,D,2016,BUF
93,8,27,Dmitry Kulikov,3,62,11,D,2017,WPG
,12,12,Dmitry Kulikov,1,82,12,LW,2019,WPG
,12,12,Dmitry Kulikov,1,82,12,LW,2020,WPG
,12,12,Dmitry Kulikov,1,82,12,LW,2021,WPG
,12,12,Dmitry Kulikov,0,82,12,LW,2022,WPG
,12,12,Dmitry Kulikov,0,82,12,LW,2023,WPG
94,0,21,Dominic Turgeon,0,5,0,C,2017,DET
,12,12,Dominic Turgeon,0,82,12,LW,2019,DET
,12,12,Dominic Turgeon,0,82,12,LW,2020,DET
,12,12,Dominic Turgeon,0,82,12,LW,2021,DET
,12,12,Dominic Turgeon,0,82,12,LW,2022,DET
,12,12,Dominic Turgeon,0,82,12,LW,2023,DET
95,2,20,Dustin Byfuglien,3,25,5,D,2005,CHI
96,2,21,Dustin Byfuglien,1,9,3,D,2006,CHI
97,17,22,Dustin Byfuglien,19,67,36,D,2007,CHI
98,16,23,Dustin Byfuglien,15,77,31,RW,2008,CHI
99,17,24,Dustin Byfuglien,17,82,34,D,2009,CHI
100,33,25,Dustin Byfuglien,20,81,53,D,2010,ATL
101,41,26,Dustin Byfuglien,12,66,53,D,2011,WPG
102,20,27,Dustin Byfuglien,8,43,28,D,2012,WPG
103,36,28,Dustin Byfuglien,20,78,56,D,2013,WPG
104,27,29,Dustin Byfuglien,18,69,45,D,2014,WPG
105,34,30,Dustin Byfuglien,19,81,53,D,2015,WPG
106,39,31,Dustin Byfuglien,13,80,52,D,2016,WPG
107,37,32,Dustin Byfuglien,8,69,45,D,2017,WPG
,12,12,Dustin Byfuglien,9,82,12,LW,2019,WPG
,12,12,Dustin Byfuglien,9,82,12,LW,2020,WPG
,12,12,Dustin Byfuglien,6,82,12,LW,2021,WPG
,12,12,Dustin Byfuglien,4,82,12,LW,2022,WPG
,12,12,Dustin Byfuglien,3,82,12,LW,2023,WPG
108,22,19,Dylan Larkin,23,80,45,C,2015,DET
109,15,20,Dylan Larkin,17,80,32,C,2016,DET
110,47,21,Dylan Larkin,16,82,63,C,2017,DET
,12,12,Dylan Larkin,21,82,12,LW,2019,DET
,12,12,Dylan Larkin,21,82,12,LW,2020,DET
,12,12,Dylan Larkin,21,82,12,LW,2021,DET
,12,12,Dylan Larkin,19,82,12,LW,2022,DET
,12,12,Dylan Larkin,15,82,12,LW,2023,DET
111,12,19,Elias Lindholm,9,58,21,C,2013,CAR
112,22,20,Elias Lindholm,17,81,39,C,2014,CAR
113,28,21,Elias Lindholm,11,82,39,C,2015,CAR
114,34,22,Elias Lindholm,11,72,45,C,2016,CAR
115,28,23,Elias Lindholm,16,81,44,C,2017,CAR
,12,12,Elias Lindholm,15,82,12,LW,2019,CAR
,12,12,Elias Lindholm,12,82,12,LW,2020,CAR
,12,12,Elias Lindholm,12,82,12,LW,2021,CAR
,12,12,Elias Lindholm,12,82,12,LW,2022,CAR
,12,12,Elias Lindholm,9,82,12,LW,2023,CAR
116,0,20,Evgeny Svechnikov,0,2,0,RW,2016,DET
117,2,21,Evgeny Svechnikov,2,14,4,RW,2017,DET
,12,12,Evgeny Svechnikov,0,82,12,LW,2019,DET
,12,12,Evgeny Svechnikov,0,82,12,LW,2020,DET
,12,12,Evgeny Svechnikov,0,82,12,LW,2021,DET
,12,12,Evgeny Svechnikov,0,82,12,LW,2022,DET
,12,12,Evgeny Svechnikov,0,82,12,LW,2023,DET
118,1,22,Frans Nielsen,1,15,2,C,2006,NYI
119,1,23,Frans Nielsen,2,16,3,C,2007,NYI
120,24,24,Frans Nielsen,9,59,33,C,2008,NYI
121,26,25,Frans Nielsen,12,76,38,C,2009,NYI
122,31,26,Frans Nielsen,13,71,44,C,2010,NYI
123,30,27,Frans Nielsen,17,82,47,C,2011,NYI
124,23,28,Frans Nielsen,6,48,29,C,2012,NYI
125,33,29,Frans Nielsen,25,80,58,C,2013,NYI
126,29,30,Frans Nielsen,14,78,43,C,2014,NYI
127,32,31,Frans Nielsen,20,81,52,C,2015,NYI
128,24,32,Frans Nielsen,17,79,41,C,2016,DET
129,17,33,Frans Nielsen,16,79,33,C,2017,DET
,12,12,Frans Nielsen,12,82,12,LW,2019,DET
,12,12,Frans Nielsen,12,82,12,LW,2020,DET
,12,12,Frans Nielsen,8,82,12,LW,2021,DET
,12,12,Frans Nielsen,8,82,12,LW,2022,DET
,12,12,Frans Nielsen,6,82,12,LW,2023,DET
130,6,22,Gustav Nyquist,1,18,7,LW,2011,DET
131,3,23,Gustav Nyquist,3,22,6,LW,2012,DET
132,20,24,Gustav Nyquist,28,57,48,RW,2013,DET
133,27,25,Gustav Nyquist,27,82,54,RW/C,2014,DET
134,26,26,Gustav Nyquist,17,82,43,RW,2015,DET
135,36,27,Gustav Nyquist,12,76,48,RW,2016,DET
136,19,28,Gustav Nyquist,21,82,40,RW,2017,DET
,12,12,Gustav Nyquist,15,82,12,LW,2019,DET
,12,12,Gustav Nyquist,12,82,12,LW,2020,DET
,12,12,Gustav Nyquist,10,82,12,LW,2021,DET
,12,12,Gustav Nyquist,9,82,12,LW,2022,DET
,12,12,Gustav Nyquist,9,82,12,LW,2023,DET
137,8,21,Haydn Fleury,0,67,8,D,2017,CAR
,12,12,Haydn Fleury,0,82,12,LW,2019,CAR
,12,12,Haydn Fleury,0,82,12,LW,2020,CAR
,12,12,Haydn Fleury,0,82,12,LW,2021,CAR
,12,12,Haydn Fleury,0,82,12,LW,2022,CAR
,12,12,Haydn Fleury,0,82,12,LW,2023,CAR
138,22,22,Henrik Zetterberg,22,79,44,LW,2002,DET
139,28,23,Henrik Zetterberg,15,61,43,LW,2003,DET
140,46,25,Henrik Zetterberg,39,77,85,LW,2005,DET
141,35,26,Henrik Zetterberg,33,63,68,LW,2006,DET
142,49,27,Henrik Zetterberg,43,75,92,LW,2007,DET
143,42,28,Henrik Zetterberg,31,77,73,C,2008,DET
144,47,29,Henrik Zetterberg,23,74,70,LW,2009,DET
145,56,30,Henrik Zetterberg,24,80,80,LW,2010,DET
146,47,31,Henrik Zetterberg,22,82,69,LW,2011,DET
147,37,32,Henrik Zetterberg,11,46,48,LW,2012,DET
148,32,33,Henrik Zetterberg,16,45,48,LW,2013,DET
149,49,34,Henrik Zetterberg,17,77,66,LW/C,2014,DET
150,37,35,Henrik Zetterberg,13,82,50,LW,2015,DET
151,51,36,Henrik Zetterberg,17,82,68,LW,2016,DET
152,45,37,Henrik Zetterberg,11,82,56,LW,2017,DET
,12,12,Henrik Zetterberg,10,82,12,LW,2019,DET
,12,12,Henrik Zetterberg,10,82,12,LW,2020,DET
,12,12,Henrik Zetterberg,9,82,12,LW,2021,DET
,12,12,Henrik Zetterberg,9,82,12,LW,2022,DET
,12,12,Henrik Zetterberg,6,82,12,LW,2023,DET
153,18,21,Jaccob Slavin,2,63,20,D,2015,CAR
154,29,22,Jaccob Slavin,5,82,34,D,2016,CAR
155,22,23,Jaccob Slavin,8,82,30,D,2017,CAR
,12,12,Jaccob Slavin,3,82,12,LW,2019,CAR
,12,12,Jaccob Slavin,3,82,12,LW,2020,CAR
,12,12,Jaccob Slavin,3,82,12,LW,2021,CAR
,12,12,Jaccob Slavin,2,82,12,LW,2022,CAR
,12,12,Jaccob Slavin,1,82,12,LW,2023,CAR
156,0,20,Jack Roslovic,0,1,0,C,2016,WPG
157,9,21,Jack Roslovic,5,31,14,C,2017,WPG
,12,12,Jack Roslovic,0,82,12,LW,2019,WPG
,12,12,Jack Roslovic,0,82,12,LW,2020,WPG
,12,12,Jack Roslovic,0,82,12,LW,2021,WPG
,12,12,Jack Roslovic,0,82,12,LW,2022,WPG
,12,12,Jack Roslovic,0,82,12,LW,2023,WPG
158,19,19,Jacob Trouba,10,65,29,D,2013,WPG
159,15,20,Jacob Trouba,7,65,22,D,2014,WPG
160,15,21,Jacob Trouba,6,81,21,D,2015,WPG
161,25,22,Jacob Trouba,8,60,33,D,2016,WPG
162,21,23,Jacob Trouba,3,55,24,D,2017,WPG
,12,12,Jacob Trouba,0,82,12,LW,2019,WPG
,12,12,Jacob Trouba,0,82,12,LW,2020,WPG
,12,12,Jacob Trouba,0,82,12,LW,2021,WPG
,12,12,Jacob Trouba,0,82,12,LW,2022,WPG
,12,12,Jacob Trouba,0,82,12,LW,2023,WPG
163,0,19,Janne Kuokkanen,0,4,0,C,2017,CAR
,12,12,Janne Kuokkanen,0,82,12,LW,2019,CAR
,12,12,Janne Kuokkanen,0,82,12,LW,2020,CAR
,12,12,Janne Kuokkanen,0,82,12,LW,2021,CAR
,12,12,Janne Kuokkanen,0,82,12,LW,2022,CAR
,12,12,Janne Kuokkanen,0,82,12,LW,2023,CAR
164,32,18,Jeff Skinner,31,82,63,RW,2010,CAR
165,24,19,Jeff Skinner,20,64,44,RW,2011,CAR
166,11,20,Jeff Skinner,13,42,24,RW,2012,CAR
167,21,21,Jeff Skinner,33,71,54,LW,2013,CAR
168,13,22,Jeff Skinner,18,77,31,LW/C,2014,CAR
169,23,23,Jeff Skinner,28,82,51,LW,2015,CAR
170,26,24,Jeff Skinner,37,79,63,LW,2016,CAR
171,25,25,Jeff Skinner,24,82,49,LW,2017,CAR
,12,12,Jeff Skinner,22,82,12,LW,2019,CAR
,12,12,Jeff Skinner,21,82,12,LW,2020,CAR
,12,12,Jeff Skinner,21,82,12,LW,2021,CAR
,12,12,Jeff Skinner,19,82,12,LW,2022,CAR
,12,12,Jeff Skinner,19,82,12,LW,2023,CAR
172,2,21,Joakim Nordstrom,1,16,3,C,2013,CHI
173,3,22,Joakim Nordstrom,0,38,3,LW/C,2014,CHI
174,14,23,Joakim Nordstrom,10,71,24,LW,2015,CAR
175,5,24,Joakim Nordstrom,7,82,12,LW,2016,CAR
176,5,25,Joakim Nordstrom,2,75,7,LW,2017,CAR
,12,12,Joakim Nordstrom,0,82,12,LW,2019,CAR
,12,12,Joakim Nordstrom,0,82,12,LW,2020,CAR
,12,12,Joakim Nordstrom,0,82,12,LW,2021,CAR
,12,12,Joakim Nordstrom,0,82,12,LW,2022,CAR
,12,12,Joakim Nordstrom,0,82,12,LW,2023,CAR
177,3,21,Joe Hicketts,0,5,3,D,2017,DET
,12,12,Joe Hicketts,0,82,12,LW,2019,DET
,12,12,Joe Hicketts,0,82,12,LW,2020,DET
,12,12,Joe Hicketts,0,82,12,LW,2021,DET
,12,12,Joe Hicketts,0,82,12,LW,2022,DET
,12,12,Joe Hicketts,0,82,12,LW,2023,DET
178,0,21,Joel Armia,0,1,0,RW,2014,BUF
179,6,22,Joel Armia,4,43,10,RW,2015,WPG
180,9,23,Joel Armia,10,57,19,RW,2016,WPG
181,17,24,Joel Armia,12,79,29,RW,2017,WPG
,12,12,Joel Armia,12,82,12,LW,2019,WPG
,12,12,Joel Armia,12,82,12,LW,2020,WPG
,12,12,Joel Armia,8,82,12,LW,2021,WPG
,12,12,Joel Armia,8,82,12,LW,2022,WPG
,12,12,Joel Armia,6,82,12,LW,2023,WPG
182,0,23,Jonathan Ericsson,1,8,1,D,2007,DET
183,3,24,Jonathan Ericsson,1,19,4,D,2008,DET
184,9,25,Jonathan Ericsson,4,62,13,D,2009,DET
185,12,26,Jonathan Ericsson,3,74,15,D,2010,DET
186,10,27,Jonathan Ericsson,1,69,11,D,2011,DET
187,10,28,Jonathan Ericsson,3,45,13,D,2012,DET
188,10,29,Jonathan Ericsson,1,48,11,D,2013,DET
189,12,30,Jonathan Ericsson,3,82,15,D,2014,DET
190,12,31,Jonathan Ericsson,3,71,15,D,2015,DET
191,8,32,Jonathan Ericsson,1,51,9,D,2016,DET
192,10,33,Jonathan Ericsson,3,81,13,D,2017,DET
,12,12,Jonathan Ericsson,1,82,12,LW,2019,DET
,12,12,Jonathan Ericsson,1,82,12,LW,2020,DET
,12,12,Jonathan Ericsson,0,82,12,LW,2021,DET
,12,12,Jonathan Ericsson,0,82,12,LW,2022,DET
,12,12,Jonathan Ericsson,0,82,12,LW,2023,DET
193,13,18,Jordan Staal,29,81,42,C,2006,PIT
194,16,19,Jordan Staal,12,82,28,C,2007,PIT
195,27,20,Jordan Staal,22,82,49,C,2008,PIT
196,28,21,Jordan Staal,21,82,49,C,2009,PIT
197,19,22,Jordan Staal,11,42,30,C,2010,PIT
198,25,23,Jordan Staal,25,62,50,C,2011,PIT
199,21,24,Jordan Staal,10,48,31,C,2012,CAR
200,25,25,Jordan Staal,15,82,40,C,2013,CAR
201,18,26,Jordan Staal,6,46,24,C,2014,CAR
202,28,27,Jordan Staal,20,82,48,C,2015,CAR
203,29,28,Jordan Staal,16,75,45,C,2016,CAR
204,27,29,Jordan Staal,19,79,46,C,2017,CAR
,12,12,Jordan Staal,12,82,12,LW,2019,CAR
,12,12,Jordan Staal,12,82,12,LW,2020,CAR
,12,12,Jordan Staal,10,82,12,LW,2021,CAR
,12,12,Jordan Staal,9,82,12,LW,2022,CAR
,12,12,Jordan Staal,6,82,12,LW,2023,CAR
205,6,23,Joseph Morrow,1,33,7,D,2015,BOS
206,1,24,Joseph Morrow,0,17,1,D,2016,BOS
207,4,25,Joseph Morrow,1,18,5,D,2017,WPG
,12,12,Joseph Morrow,0,82,12,LW,2019,WPG
,12,12,Joseph Morrow,0,82,12,LW,2020,WPG
,12,12,Joseph Morrow,0,82,12,LW,2021,WPG
,12,12,Joseph Morrow,0,82,12,LW,2022,WPG
,12,12,Joseph Morrow,0,82,12,LW,2023,WPG
208,0,20,Josh Morrissey,0,1,0,D,2015,WPG
209,14,21,Josh Morrissey,6,82,20,D,2016,WPG
210,19,22,Josh Morrissey,7,81,26,D,2017,WPG
,12,12,Josh Morrissey,0,82,12,LW,2019,WPG
,12,12,Josh Morrissey,0,82,12,LW,2020,WPG
,12,12,Josh Morrissey,0,82,12,LW,2021,WPG
,12,12,Josh Morrissey,0,82,12,LW,2022,WPG
,12,12,Josh Morrissey,0,82,12,LW,2023,WPG
211,0,20,Justin Abdelkader,0,2,0,LW,2007,DET
212,0,21,Justin Abdelkader,0,2,0,LW,2008,DET
213,3,22,Justin Abdelkader,3,50,6,LW,2009,DET
214,12,23,Justin Abdelkader,7,74,19,LW,2010,DET
215,14,24,Justin Abdelkader,8,81,22,LW,2011,DET
216,3,25,Justin Abdelkader,10,48,13,LW,2012,DET
217,18,26,Justin Abdelkader,10,70,28,LW,2013,DET
218,21,27,Justin Abdelkader,23,71,44,LW,2014,DET
219,23,28,Justin Abdelkader,19,82,42,LW,2015,DET
220,14,29,Justin Abdelkader,7,64,21,LW,2016,DET
221,22,30,Justin Abdelkader,13,75,35,LW,2017,DET
,12,12,Justin Abdelkader,8,82,12,LW,2019,DET
,12,12,Justin Abdelkader,8,82,12,LW,2020,DET
,12,12,Justin Abdelkader,6,82,12,LW,2021,DET
,12,12,Justin Abdelkader,6,82,12,LW,2022,DET
,12,12,Justin Abdelkader,3,82,12,LW,2023,DET
222,14,19,Justin Faulk,8,66,22,D,2011,CAR
223,10,20,Justin Faulk,5,38,15,D,2012,CAR
224,27,21,Justin Faulk,5,76,32,D,2013,CAR
225,34,22,Justin Faulk,15,82,49,D,2014,CAR
226,21,23,Justin Faulk,16,64,37,D,2015,CAR
227,20,24,Justin Faulk,17,75,37,D,2016,CAR
228,23,25,Justin Faulk,8,76,31,D,2017,CAR
,12,12,Justin Faulk,10,82,12,LW,2019,CAR
,12,12,Justin Faulk,9,82,12,LW,2020,CAR
,12,12,Justin Faulk,6,82,12,LW,2021,CAR
,12,12,Justin Faulk,6,82,12,LW,2022,CAR
,12,12,Justin Faulk,4,82,12,LW,2023,CAR
229,13,19,Justin Williams,12,63,25,RW,2000,PHI
230,23,20,Justin Williams,17,75,40,RW,2001,PHI
231,16,21,Justin Williams,8,41,24,RW,2002,PHI
232,33,22,Justin Williams,11,79,44,RW,2003,TOT
233,45,24,Justin Williams,31,82,76,RW,2005,CAR
234,34,25,Justin Williams,33,82,67,RW,2006,CAR
235,21,26,Justin Williams,9,37,30,RW,2007,CAR
236,10,27,Justin Williams,4,44,14,RW,2008,TOT
237,19,28,Justin Williams,10,49,29,RW,2009,LAK
238,35,29,Justin Williams,22,73,57,RW,2010,LAK
239,37,30,Justin Williams,22,82,59,RW,2011,LAK
240,22,31,Justin Williams,11,48,33,RW,2012,LAK
241,24,32,Justin Williams,19,82,43,RW,2013,LAK
242,23,33,Justin Williams,18,81,41,RW,2014,LAK
243,30,34,Justin Williams,22,82,52,RW,2015,WSH
244,24,35,Justin Williams,24,80,48,RW,2016,WSH
245,35,36,Justin Williams,16,82,51,RW,2017,CAR
,12,12,Justin Williams,14,82,12,LW,2019,CAR
,12,12,Justin Williams,12,82,12,LW,2020,CAR
,12,12,Justin Williams,11,82,12,LW,2021,CAR
,12,12,Justin Williams,9,82,12,LW,2022,CAR
,12,12,Justin Williams,9,82,12,LW,2023,CAR
246,3,23,Klas Dahlbeck,1,23,4,D,2014,ARI
247,6,24,Klas Dahlbeck,2,71,8,D,2015,ARI
248,4,25,Klas Dahlbeck,2,43,6,D,2016,CAR
249,4,26,Klas Dahlbeck,1,33,5,D,2017,CAR
,12,12,Klas Dahlbeck,2,82,12,LW,2019,CAR
,12,12,Klas Dahlbeck,2,82,12,LW,2020,CAR
,12,12,Klas Dahlbeck,1,82,12,LW,2021,CAR
,12,12,Klas Dahlbeck,1,82,12,LW,2022,CAR
,12,12,Klas Dahlbeck,1,82,12,LW,2023,CAR
250,3,20,Kyle Connor,2,20,5,LW,2016,WPG
251,26,21,Kyle Connor,31,76,57,LW,2017,WPG
,12,12,Kyle Connor,31,82,12,LW,2019,WPG
,12,12,Kyle Connor,31,82,12,LW,2020,WPG
