,A,Age,Full_Name,G,GP,PTS,Pos,Season,Team
44,20,22,Brad Marchand,21,77,41,C,2010,BOS
45,27,23,Brad Marchand,28,76,55,C,2011,BOS
46,18,24,Brad Marchand,31,45,36,C,2012,BOS
47,28,25,Brad Marchand,25,82,53,LW,2013,BOS
48,18,26,Brad Marchand,24,77,42,LW/C,2014,BOS
49,24,27,Brad Marchand,37,77,61,LW,2015,BOS
50,46,28,Brad Marchand,39,80,85,LW,2016,BOS
51,51,29,Brad Marchand,34,68,85,LW,2017,BOS
,12,12,Brad Marchand,28,82,12,LW,2018,BOS
,12,12,Brad Marchand,30,82,12,LW,2019,BOS
,12,12,Brad Marchand,25,82,12,LW,2020,BOS
52,10,20,Brandon Carlo,6,82,16,D,2016,BOS
53,6,21,Brandon Carlo,0,76,6,D,2017,BOS
,12,12,Brandon Carlo,0,82,12,LW,2018,BOS
,12,12,Brandon Carlo,0,82,12,LW,2019,BOS
,12,12,Brandon Carlo,0,82,12,LW,2020,BOS
54,0,24,Brandon Tanev,0,3,0,LW,2015,WPG
55,2,25,Brandon Tanev,2,51,4,LW,2016,WPG
56,10,26,Brandon Tanev,8,61,18,LW,2017,WPG
,12,12,Brandon Tanev,0,82,12,LW,2018,WPG
,12,12,Brandon Tanev,0,82,12,LW,2019,WPG
,12,12,Brandon Tanev,0,82,12,LW,2020,WPG
57,0,21,Brendan Lemieux,1,9,1,LW,2017,WPG
,12,12,Brendan Lemieux,0,82,12,LW,2018,WPG
,12,12,Brendan Lemieux,0,82,12,LW,2019,WPG
,12,12,Brendan Lemieux,0,82,12,LW,2020,WPG
58,7,23,Brian Gionta,4,33,11,RW,2001,NJD
59,13,24,Brian Gionta,12,58,25,RW,2002,NJD
60,8,25,Brian Gionta,21,75,29,RW,2003,NJD
61,41,27,Brian Gionta,48,82,89,RW,2005,NJD
62,20,28,Brian Gionta,25,62,45,RW,2006,NJD
63,31,29,Brian Gionta,22,82,53,RW,2007,NJD
64,40,30,Brian Gionta,20,81,60,RW,2008,NJD
65,18,31,Brian Gionta,28,61,46,RW,2009,MTL
66,17,32,Brian Gionta,29,82,46,RW,2010,MTL
67,7,33,Brian Gionta,8,31,15,RW,2011,MTL
68,12,34,Brian Gionta,24,48,26,RW,2012,MTL
69,22,35,Brian Gionta,18,81,40,RW,2013,MTL
70,22,36,Brian Gionta,13,69,35,RW,2014,BUF
71,21,37,Brian Gionta,12,79,33,RW,2015,BUF
