,A,Age,Full_Name,G,GP,PTS,Pos,Season,Team
306,7,34,Matt Hendricks,5,68,12,LW,2015,EDM
307,3,35,Matt Hendricks,4,42,7,LW,2016,EDM
308,8,36,Matt Hendricks,5,60,13,LW,2017,WPG
,12,12,Matt Hendricks,6,82,12,LW,2018,WPG
,12,12,Matt Hendricks,4,82,12,LW,2019,WPG
,12,12,Matt Hendricks,1,82,12,LW,2020,WPG
309,2,20,Mike Green,1,22,3,D,2005,WSH
310,10,21,Mike Green,2,70,12,D,2006,WSH
311,38,22,Mike Green,18,82,56,D,2007,WSH
312,42,23,Mike Green,31,68,73,D,2008,WSH
313,57,24,Mike Green,19,75,76,D,2009,WSH
314,16,25,Mike Green,8,49,24,D,2010,WSH
315,4,26,Mike Green,3,32,7,D,2011,WSH
316,14,27,Mike Green,20,35,26,D,2012,WSH
317,29,28,Mike Green,9,70,38,D,2013,WSH
318,35,29,Mike Green,10,72,45,D,2014,WSH
319,28,30,Mike Green,7,74,35,D,2015,DET
320,22,31,Mike Green,14,72,36,D,2016,DET
321,25,32,Mike Green,8,66,33,D,2017,DET
,12,12,Mike Green,10,82,12,LW,2018,DET
,12,12,Mike Green,8,82,12,LW,2019,DET
,12,12,Mike Green,7,82,12,LW,2020,DET
322,4,20,Nic Petan,2,26,6,LW,2015,WPG
323,12,21,Nic Petan,1,54,13,LW,2016,WPG
324,0,22,Nic Petan,2,15,2,LW,2017,WPG
,12,12,Nic Petan,1,82,12,LW,2018,WPG
,12,12,Nic Petan,2,82,12,LW,2019,WPG
,12,12,Nic Petan,1,82,12,LW,2020,WPG
325,0,23,Nick Holden,0,5,0,D,2010,CBJ
326,0,25,Nick Holden,0,2,0,D,2012,CBJ
327,15,26,Nick Holden,10,54,25,D,2013,COL
328,9,27,Nick Holden,5,78,14,D,2014,COL
329,16,28,Nick Holden,6,82,22,D,2015,COL
330,23,29,Nick Holden,11,80,34,D,2016,NYR
331,4,30,Nick Holden,1,18,5,D,2017,BOS
,12,12,Nick Holden,0,82,12,LW,2018,BOS
,12,12,Nick Holden,0,82,12,LW,2019,BOS
,12,12,Nick Holden,0,82,12,LW,2020,BOS
332,9,26,Nick Jensen,4,49,13,D,2016,DET
333,15,27,Nick Jensen,0,81,15,D,2017,DET
,12,12,Nick Jensen,0,82,12,LW,2018,DET
,12,12,Nick Jensen,0,82,12,LW,2019,DET
,12,12,Nick Jensen,0,82,12,LW,2020,DET
334,4,23,Niklas Kronwall,1,20,5,D,2003,DET
335,8,25,Niklas Kronwall,1,27,9,D,2005,DET
336,21,26,Niklas Kronwall,1,68,22,D,2006,DET
337,28,27,Niklas Kronwall,7,65,35,D,2007,DET
338,45,28,Niklas Kronwall,6,80,51,D,2008,DET
339,15,29,Niklas Kronwall,7,48,22,D,2009,DET
340,26,30,Niklas Kronwall,11,77,37,D,2010,DET
341,21,31,Niklas Kronwall,15,82,36,D,2011,DET
342,24,32,Niklas Kronwall,5,48,29,D,2012,DET
343,41,33,Niklas Kronwall,8,79,49,D,2013,DET
344,35,34,Niklas Kronwall,9,80,44,D,2014,DET
345,23,35,Niklas Kronwall,3,64,26,D,2015,DET
346,11,36,Niklas Kronwall,2,57,13,D,2016,DET
347,23,37,Niklas Kronwall,4,79,27,D,2017,DET
,12,12,Niklas Kronwall,1,82,12,LW,2018,DET
,12,12,Niklas Kronwall,2,82,12,LW,2019,DET
,12,12,Niklas Kronwall,1,82,12,LW,2020,DET
348,23,19,Nikolaj Ehlers,15,72,38,RW,2015,WPG
349,39,20,Nikolaj Ehlers,25,82,64,LW,2016,WPG
350,31,21,Nikolaj Ehlers,29,82,60,LW,2017,WPG
,12,12,Nikolaj Ehlers,26,82,12,LW,2018,WPG
,12,12,Nikolaj Ehlers,26,82,12,LW,2019,WPG
,12,12,Nikolaj Ehlers,25,82,12,LW,2020,WPG
351,1,24,Noel Acciari,0,19,1,C,2015,BOS
352,3,25,Noel Acciari,2,29,5,C,2016,BOS
353,1,26,Noel Acciari,10,60,11,C,2017,BOS
,12,12,Noel Acciari,0,82,12,LW,2018,BOS
,12,12,Noel Acciari,0,82,12,LW,2019,BOS
,12,12,Noel Acciari,0,82,12,LW,2020,BOS
354,23,18,Patrice Bergeron,16,71,39,C,2003,BOS
355,42,20,Patrice Bergeron,31,81,73,C,2005,BOS
356,48,21,Patrice Bergeron,22,77,70,C,2006,BOS
357,4,22,Patrice Bergeron,3,10,7,C,2007,BOS
358,31,23,Patrice Bergeron,8,64,39,C,2008,BOS
359,33,24,Patrice Bergeron,19,73,52,C,2009,BOS
360,35,25,Patrice Bergeron,22,80,57,C,2010,BOS
361,42,26,Patrice Bergeron,22,81,64,C,2011,BOS
362,22,27,Patrice Bergeron,10,42,32,C,2012,BOS
363,32,28,Patrice Bergeron,30,80,62,C,2013,BOS
364,32,29,Patrice Bergeron,23,81,55,C,2014,BOS
365,36,30,Patrice Bergeron,32,80,68,C,2015,BOS
366,32,31,Patrice Bergeron,21,79,53,C,2016,BOS
367,33,32,Patrice Bergeron,30,64,63,C,2017,BOS
,12,12,Patrice Bergeron,19,82,12,LW,2018,BOS
,12,12,Patrice Bergeron,20,82,12,LW,2019,BOS
,12,12,Patrice Bergeron,17,82,12,LW,2020,BOS
368,28,18,Patrik Laine,36,73,64,RW,2016,WPG
369,26,19,Patrik Laine,44,82,70,RW,2017,WPG
,12,12,Patrik Laine,33,82,12,LW,2018,WPG
,12,12,Patrik Laine,33,82,12,LW,2019,WPG
,12,12,Patrik Laine,25,82,12,LW,2020,WPG
370,0,21,Paul Postma,0,1,0,D,2010,ATL
371,0,22,Paul Postma,0,3,0,D,2011,WPG
372,5,23,Paul Postma,4,34,9,D,2012,WPG
373,2,24,Paul Postma,1,20,3,D,2013,WPG
374,4,25,Paul Postma,2,42,6,D,2014,WPG
375,0,26,Paul Postma,2,26,2,D,2015,WPG
376,13,27,Paul Postma,1,65,14,D,2016,WPG
377,1,28,Paul Postma,0,14,1,D,2017,BOS
,12,12,Paul Postma,0,82,12,LW,2018,BOS
,12,12,Paul Postma,0,82,12,LW,2019,BOS
,12,12,Paul Postma,0,82,12,LW,2020,BOS
378,50,21,Paul Stastny,28,82,78,C,2006,COL
379,47,22,Paul Stastny,24,66,71,C,2007,COL
380,25,23,Paul Stastny,11,45,36,C,2008,COL
381,59,24,Paul Stastny,20,81,79,C,2009,COL
382,35,25,Paul Stastny,22,74,57,C,2010,COL
383,32,26,Paul Stastny,21,79,53,C,2011,COL
384,15,27,Paul Stastny,9,40,24,C,2012,COL
385,35,28,Paul Stastny,25,71,60,C,2013,COL
386,30,29,Paul Stastny,16,74,46,C,2014,STL
387,39,30,Paul Stastny,10,64,49,C,2015,STL
388,22,31,Paul Stastny,18,66,40,C,2016,STL
389,9,32,Paul Stastny,4,19,13,C,2017,WPG
,12,12,Paul Stastny,10,82,12,LW,2018,WPG
,12,12,Paul Stastny,8,82,12,LW,2019,WPG
,12,12,Paul Stastny,0,82,12,LW,2020,WPG
390,2,21,Peter Cehlarik,0,11,2,LW,2016,BOS
391,1,22,Peter Cehlarik,1,6,2,LW,2017,BOS
,12,12,Peter Cehlarik,0,82,12,LW,2018,BOS
,12,12,Peter Cehlarik,0,82,12,LW,2019,BOS
,12,12,Peter Cehlarik,0,82,12,LW,2020,BOS
392,22,18,Rick Nash,17,74,39,LW,2002,CBJ
393,16,19,Rick Nash,41,80,57,LW,2003,CBJ
394,23,21,Rick Nash,31,54,54,LW,2005,CBJ
395,30,22,Rick Nash,27,75,57,LW,2006,CBJ
396,31,23,Rick Nash,38,80,69,LW,2007,CBJ
397,39,24,Rick Nash,40,78,79,LW,2008,CBJ
398,34,25,Rick Nash,33,76,67,LW,2009,CBJ
399,34,26,Rick Nash,32,75,66,LW,2010,CBJ
400,29,27,Rick Nash,30,82,59,LW,2011,CBJ
401,21,28,Rick Nash,21,44,42,LW,2012,NYR
402,13,29,Rick Nash,26,65,39,LW,2013,NYR
403,27,30,Rick Nash,42,79,69,LW,2014,NYR
404,21,31,Rick Nash,15,60,36,LW,2015,NYR
405,15,32,Rick Nash,23,67,38,RW,2016,NYR
406,3,33,Rick Nash,3,11,6,LW,2017,BOS
,12,12,Rick Nash,0,82,12,LW,2018,BOS
,12,12,Rick Nash,0,82,12,LW,2019,BOS
,12,12,Rick Nash,0,82,12,LW,2020,BOS
407,1,22,Riley Nash,0,5,1,C,2011,CAR
408,5,23,Riley Nash,4,32,9,C,2012,CAR
409,14,24,Riley Nash,10,73,24,C,2013,CAR
410,17,25,Riley Nash,8,68,25,C,2014,CAR
411,13,26,Riley Nash,9,64,22,C,2015,CAR
412,10,27,Riley Nash,7,81,17,C,2016,BOS
413,26,28,Riley Nash,15,76,41,C,2017,BOS
,12,12,Riley Nash,10,82,12,LW,2018,BOS
,12,12,Riley Nash,7,82,12,LW,2019,BOS
,12,12,Riley Nash,7,82,12,LW,2020,BOS
414,0,20,Riley Sheahan,0,1,0,C,2011,DET
415,0,21,Riley Sheahan,0,1,0,C,2012,DET
416,15,22,Riley Sheahan,9,42,24,C,2013,DET
417,23,23,Riley Sheahan,13,79,36,C,2014,DET
418,11,24,Riley Sheahan,14,81,25,C,2015,DET
419,11,25,Riley Sheahan,2,80,13,C,2016,DET
420,0,26,Riley Sheahan,0,8,0,C,2017,DET
,12,12,Riley Sheahan,0,82,12,LW,2018,DET
,12,12,Riley Sheahan,0,82,12,LW,2019,DET
,12,12,Riley Sheahan,0,82,12,LW,2020,DET
421,0,23,Rob O'Gara,0,3,0,D,2016,BOS
422,0,24,Rob O'Gara,0,8,0,D,2017,BOS
,12,12,Rob O'Gara,0,82,12,LW,2018,BOS
,12,12,Rob O'Gara,0,82,12,LW,2019,BOS
,12,12,Rob O'Gara,0,82,12,LW,2020,BOS
423,4,21,Ryan Donato,5,12,9,C,2017,BOS
,12,12,Ryan Donato,10,82,12,LW,2018,BOS
,12,12,Ryan Donato,8,82,12,LW,2019,BOS
,12,12,Ryan Donato,8,82,12,LW,2020,BOS
424,0,21,Sami Niku,1,1,1,D,2017,WPG
,12,12,Sami Niku,0,82,12,LW,2018,WPG
,12,12,Sami Niku,0,82,12,LW,2019,WPG
,12,12,Sami Niku,0,82,12,LW,2020,WPG
425,1,24,Sean Kuraly,0,8,1,C,2016,BOS
426,8,25,Sean Kuraly,6,75,14,C,2017,BOS
,12,12,Sean Kuraly,0,82,12,LW,2018,BOS
,12,12,Sean Kuraly,0,82,12,LW,2019,BOS
,12,12,Sean Kuraly,0,82,12,LW,2020,BOS
427,0,19,Shawn Matthias,2,4,2,C,2007,FLA
428,2,20,Shawn Matthias,0,16,2,C,2008,FLA
429,9,21,Shawn Matthias,7,55,16,C,2009,FLA
430,10,22,Shawn Matthias,6,51,16,C,2010,FLA
431,14,23,Shawn Matthias,10,79,24,C,2011,FLA
432,7,24,Shawn Matthias,14,48,21,C,2012,FLA
433,11,25,Shawn Matthias,12,77,23,C,2013,TOT
434,9,26,Shawn Matthias,18,78,27,C,2014,VAN
435,16,27,Shawn Matthias,12,71,28,C,2015,TOT
436,4,28,Shawn Matthias,8,45,12,LW,2016,WPG
437,2,29,Shawn Matthias,1,27,3,LW,2017,WPG
,12,12,Shawn Matthias,0,82,12,LW,2018,WPG
,12,12,Shawn Matthias,0,82,12,LW,2019,WPG
,12,12,Shawn Matthias,0,82,12,LW,2020,WPG
438,1,24,Tim Schaller,1,18,2,C,2014,BUF
439,2,25,Tim Schaller,1,17,3,C,2015,BUF
440,7,26,Tim Schaller,7,59,14,C,2016,BOS
441,10,27,Tim Schaller,12,82,22,C,2017,BOS
,12,12,Tim Schaller,8,82,12,LW,2018,BOS
,12,12,Tim Schaller,7,82,12,LW,2019,BOS
,12,12,Tim Schaller,6,82,12,LW,2020,BOS
442,33,23,Toby Enstrom,5,82,38,D,2007,ATL
443,27,24,Toby Enstrom,5,82,32,D,2008,ATL
444,44,25,Toby Enstrom,6,82,50,D,2009,ATL
445,41,26,Toby Enstrom,10,72,51,D,2010,ATL
446,27,27,Toby Enstrom,6,62,33,D,2011,WPG
447,11,28,Toby Enstrom,4,22,15,D,2012,WPG
448,20,29,Toby Enstrom,10,82,30,D,2013,WPG
449,19,30,Toby Enstrom,4,60,23,D,2014,WPG
450,14,31,Toby Enstrom,2,72,16,D,2015,WPG
451,13,32,Toby Enstrom,1,60,14,D,2016,WPG
452,5,33,Toby Enstrom,1,43,6,D,2017,WPG
,12,12,Toby Enstrom,1,82,12,LW,2018,WPG
,12,12,Toby Enstrom,2,82,12,LW,2019,WPG
,12,12,Toby Enstrom,1,82,12,LW,2020,WPG
453,0,22,Tommy Wingels,0,5,0,C,2010,SJS
454,6,23,Tommy Wingels,3,33,9,C,2011,SJS
455,8,24,Tommy Wingels,5,42,13,C,2012,SJS
456,22,25,Tommy Wingels,16,77,38,C,2013,SJS
457,21,26,Tommy Wingels,15,75,36,C/RW,2014,SJS
458,11,27,Tommy Wingels,7,68,18,C,2015,SJS
459,2,28,Tommy Wingels,2,36,4,C,2016,OTT
460,3,29,Tommy Wingels,2,18,5,RW,2017,BOS
,12,12,Tommy Wingels,0,82,12,LW,2018,BOS
,12,12,Tommy Wingels,0,82,12,LW,2019,BOS
,12,12,Tommy Wingels,0,82,12,LW,2020,BOS
461,1,20,Torey Krug,0,2,1,D,2011,BOS
462,1,21,Torey Krug,0,1,1,D,2012,BOS
463,26,22,Torey Krug,14,79,40,D,2013,BOS
464,27,23,Torey Krug,12,78,39,D,2014,BOS
465,40,24,Torey Krug,4,81,44,D,2015,BOS
466,43,25,Torey Krug,8,81,51,D,2016,BOS
467,45,26,Torey Krug,14,76,59,D,2017,BOS
,12,12,Torey Krug,10,82,12,LW,2018,BOS
,12,12,Torey Krug,8,82,12,LW,2019,BOS
,12,12,Torey Krug,8,82,12,LW,2020,BOS
468,5,20,Trevor Daley,1,27,6,D,2003,DAL
469,11,22,Trevor Daley,3,81,14,D,2005,DAL
470,8,23,Trevor Daley,4,74,12,D,2006,DAL
471,19,24,Trevor Daley,5,82,24,D,2007,DAL
472,18,25,Trevor Daley,7,75,25,D,2008,DAL
473,16,26,Trevor Daley,6,77,22,D,2009,DAL
474,19,27,Trevor Daley,8,82,27,D,2010,DAL
475,21,28,Trevor Daley,4,79,25,D,2011,DAL
476,9,29,Trevor Daley,4,44,13,D,2012,DAL
477,16,30,Trevor Daley,9,67,25,D,2013,DAL
478,22,31,Trevor Daley,16,68,38,D,2014,DAL
479,22,32,Trevor Daley,6,82,28,D,2015,TOT
480,14,33,Trevor Daley,5,56,19,D,2016,PIT
481,7,34,Trevor Daley,9,77,16,D,2017,DET
,12,12,Trevor Daley,6,82,12,LW,2018,DET
,12,12,Trevor Daley,4,82,12,LW,2019,DET
,12,12,Trevor Daley,1,82,12,LW,2020,DET
482,1,24,Tucker Poolman,1,24,2,D,2017,WPG
,12,12,Tucker Poolman,0,82,12,LW,2018,WPG
,12,12,Tucker Poolman,0,82,12,LW,2019,WPG
,12,12,Tucker Poolman,0,82,12,LW,2020,WPG
483,0,21,Tyler Bertuzzi,0,7,0,LW,2016,DET
484,17,22,Tyler Bertuzzi,7,48,24,LW,2017,DET
,12,12,Tyler Bertuzzi,0,82,12,LW,2018,DET
,12,12,Tyler Bertuzzi,0,82,12,LW,2019,DET
,12,12,Tyler Bertuzzi,0,82,12,LW,2020,DET
485,37,19,Tyler Myers,11,82,48,D,2009,BUF
486,27,20,Tyler Myers,10,80,37,D,2010,BUF
487,15,21,Tyler Myers,8,55,23,D,2011,BUF
488,5,22,Tyler Myers,3,39,8,D,2012,BUF
489,13,23,Tyler Myers,9,62,22,D,2013,BUF
490,21,24,Tyler Myers,7,71,28,D,2014,WPG
491,18,25,Tyler Myers,9,73,27,D,2015,WPG
492,3,26,Tyler Myers,2,11,5,D,2016,WPG
493,30,27,Tyler Myers,6,82,36,D,2017,WPG
,12,12,Tyler Myers,4,82,12,LW,2018,WPG
,12,12,Tyler Myers,4,82,12,LW,2019,WPG
,12,12,Tyler Myers,1,82,12,LW,2020,WPG
494,0,20,Xavier Ouellet,0,4,0,D,2013,DET
495,1,21,Xavier Ouellet,2,21,3,D,2014,DET
496,1,22,Xavier Ouellet,0,5,1,D,2015,DET
497,9,23,Xavier Ouellet,3,66,12,D,2016,DET
498,7,24,Xavier Ouellet,0,45,7,D,2017,DET
,12,12,Xavier Ouellet,0,82,12,LW,2018,DET
,12,12,Xavier Ouellet,0,82,12,LW,2019,DET
,12,12,Xavier Ouellet,0,82,12,LW,2020,DET
499,1,20,Zdeno Chara,0,25,1,D,1997,NYI
500,6,21,Zdeno Chara,2,59,8,D,1998,NYI
501,9,22,Zdeno Chara,2,65,11,D,1999,NYI
502,7,23,Zdeno Chara,2,82,9,D,2000,NYI
503,13,24,Zdeno Chara,10,75,23,D,2001,OTT
504,30,25,Zdeno Chara,9,74,39,D,2002,OTT
505,25,26,Zdeno Chara,16,79,41,D,2003,OTT
506,27,28,Zdeno Chara,16,71,43,D,2005,OTT
507,32,29,Zdeno Chara,11,80,43,D,2006,BOS
508,34,30,Zdeno Chara,17,77,51,D,2007,BOS
509,31,31,Zdeno Chara,19,80,50,D,2008,BOS
510,37,32,Zdeno Chara,7,80,44,D,2009,BOS
511,30,33,Zdeno Chara,14,81,44,D,2010,BOS
512,40,34,Zdeno Chara,12,79,52,D,2011,BOS
513,12,35,Zdeno Chara,7,48,19,D,2012,BOS
514,23,36,Zdeno Chara,17,77,40,D,2013,BOS
515,12,37,Zdeno Chara,8,63,20,D,2014,BOS
516,28,38,Zdeno Chara,9,80,37,D,2015,BOS
517,19,39,Zdeno Chara,10,75,29,D,2016,BOS
518,17,40,Zdeno Chara,7,73,24,D,2017,BOS
,12,12,Zdeno Chara,10,82,12,LW,2018,BOS
,12,12,Zdeno Chara,7,82,12,LW,2019,BOS
,12,12,Zdeno Chara,6,82,12,LW,2020,BOS
